,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
122310,Accident,2013-05-11,Flushing_NY,US,Missing,Embraer,ERJ_170_200_LR,2,Turbo_Fan,Shuttle_america_corp_(dba:_delta_connection),VMC,Standing,"40.777223, -73.8725",Embraer_ERJ_170_200_LR
122377,Accident,2013-12-19,Tampa_FL,US,Substantial,Cessna,210N,1,Reciprocating,"Airnet_systems,_inc.",VMC,Approach,"27.994722, -82.542222",Cessna_210N
122380,Incident,2013-10-15,Greenville_TX,US,Minor,Airbus,A319,2,Turbo_Fan,Spirit_airlines_(dba:_spirit_airlines),UNK,Climb,"33.201111, -96.201111",Airbus_A319
122421,Accident,2012-06-13,Talkeetna_AK,US,Substantial,Dehavilland,DHC_2,1,Reciprocating,Rustair_inc_(dba:_k2_aviation),VMC,Climb,"62.35, -150.283333",Dehavilland_DHC_2
122524,Accident,1982-12-31,NUNAPITCHUK_AK,US,Substantial,Piper,PA-32,1,Reciprocating,Delaire_charter_service,VMC,Takeoff,Missing,Piper_PA-32
122531,Incident,1982-12-01,BOISE_ID,US,Missing,Mcdonnell,DC_9_51,2,Turbo_Fan,Republic_Airlines,VMC,Descent,Missing,Mcdonnell_DC_9_51
122819,Accident,2011-05-28,BettlesField_AK,US,Substantial,Dehavilland,DHC_3T,1,Turbo_Prop,Alaska_west_air_inc_(dba:_alaska_west_air),VMC,Landing,"67.916667, -153.133333",Dehavilland_DHC_3T
122822,Accident,2011-05-25,Murphy_NC,US,Substantial,Beech,58,2,Reciprocating,Friendship_flying_service_inc,VMC,Other,"35.188055, -84.153611",Beech_58
122832,Accident,2012-07-02,Ketchikan_AK,US,Substantial,Dehavilland,BEAVER_DHC_2,1,Reciprocating,S_&_s_aircraft_leasing_inc_(dba:_taquan_air),VMC,Takeoff,"55.607778, -130.71",Dehavilland_BEAVER_DHC_2
122856,Accident,2010-11-02,Chicago_IL,US,Substantial,Bombardier,CL_600_2B19,2,Turbo_Fan,Skyway_airlines_inc,VMC,Standing,"41.978611, -87.904722",Bombardier_CL_600_2B19
122875,Incident,2010-08-26,Sacramento_CA,US,Minor,Airbus,A320,2,Turbo_Fan,Jetblue_airways_corp,VMC,Approach,"38.695555, -121.590833",Airbus_A320
122889,Incident,2008-11-07,SaltLakeCity_UT,US,Minor,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Taxi,"40.788333, -111.977778",Boeing_737
